연도,합계,사과,배,복숭아,감귤,기타,냉동과실,조제과실,과실주스
2023,386230,1996,74508,1480,4554,58518,1445,124932,118797
2022,390479,4782,74359,3663,3442,50141,1693,121023,131376
2021,409101,3698,71707,2702,6545,50108,1263,146053,127025
2020,348815,5049,71652,2197,5983,48724,1267,127132,86811
2019,351451,6364,83224,2301,2932,39522,673,125341,91094
2018,310888,6965,79999,2050,2365,28832,1478,92471,96728
2017,273299,7014,66677,1574,2092,20690,475,84409,90368
2016,299103,8748,65356,1013,2602,18751,1542,93223,107868
2015,250171,8181,57713,482,3289,17244,764,73185,89356
2010,195422,17523,54054,123,1602,12944,200,46338,62638
